Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",YR,PT,17,,$0.85 ,,0.07 ,,$649.13 ,,54.3 ,,$11.95 ,,$0.83 ,,,"$2,302,804 ",,"$32,279,287 ",,"2,700,645 ",,"49,727 ",,"38,740,464 ",,"1,259,015 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",LR,DO,14,,$0.96 ,,0.23 ,,$444.58 ,,108.1 ,,$4.11 ,,$1.77 ,,,"$5,235,383 ",,"$22,345,248 ",,"5,431,405 ",,"50,262 ",,"12,633,883 ",,"503,616 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,873",CR,DO,"1,185",,$6.45 ,,0.55 ,,$538.10 ,,46.1 ,,$11.68 ,,$0.47 ,,,"$561,748,246 ",,"$1,016,958,264 ",,"87,059,367 ",,"1,889,904 ",,"2,148,639,449 ",,"62,182,061 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",HR,DO,68,,$0.74 ,,0.19 ,,$540.41 ,,137.7 ,,$3.92 ,,$0.82 ,,,"$32,305,014 ",,"$171,688,051 ",,"43,752,286 ",,"317,702 ",,"210,105,497 ",,"6,976,333 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",RB,DO,31,,$0.74 ,,0.16 ,,$287.71 ,,60.2 ,,$4.78 ,,$0.72 ,,,"$5,318,843 ",,"$34,276,862 ",,"7,168,515 ",,"119,137 ",,"47,544,324 ",,"1,943,594 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",LR,DO,196,,$0.74 ,,0.13 ,,$435.68 ,,76.6 ,,$5.69 ,,$0.76 ,,,"$49,115,930 ",,"$377,416,763 ",,"66,387,207 ",,"866,272 ",,"495,011,734 ",,"17,999,250 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",MB,DO,"1,750",,$0.80 ,,0.18 ,,$179.13 ,,41.4 ,,$4.33 ,,$1.07 ,,,"$208,201,105 ",,"$1,128,817,799 ",,"260,902,211 ",,"6,301,677 ",,"1,050,459,894 ",,"65,506,552 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",MB,PT,135,,$0.40 ,,0.10 ,,$102.67 ,,26.0 ,,$3.96 ,,$0.83 ,,,"$5,101,263 ",,"$50,338,142 ",,"12,723,209 ",,"490,280 ",,"60,785,294 ",,"5,741,745 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,458",VP,PT,"1,278",,$4.46 ,,1.04 ,,$20.63 ,,4.8 ,,$4.31 ,,$0.10 ,,,"$15,295,759 ",,"$14,770,438 ",,"3,428,229 ",,"716,034 ",,"151,003,912 ",,"28,919,140 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",MB,DO,986,,$1.37 ,,0.26 ,,$180.48 ,,33.9 ,,$5.32 ,,$1.09 ,,,"$141,559,189 ",,"$550,309,447 ",,"103,435,175 ",,"3,049,172 ",,"502,807,522 ",,"33,894,208 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",DT,PT,71,,$1.03 ,,0.06 ,,$51.78 ,,3.0 ,,$17.29 ,,$1.26 ,,,"$148,623 ",,"$2,484,851 ",,"143,747 ",,"47,986 ",,"1,969,214 ",,"1,675,833 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",DR,PT,304,,$1.03 ,,0.01 ,,$101.82 ,,1.3 ,,$77.16 ,,$7.71 ,,,"$913,277 ",,"$68,155,901 ",,"883,312 ",,"669,349 ",,"8,840,480 ",,"8,335,875 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",MB,PT,29,,$1.26 ,,0.10 ,,$136.94 ,,11.2 ,,$12.27 ,,$3.20 ,,,"$1,038,089 ",,"$10,141,948 ",,"826,450 ",,"74,061 ",,"3,171,300 ",,"970,734 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",FB,DO,2,,$4.80 ,,0.53 ,,"$1,175.23 ",,130.0 ,,$9.04 ,,$1.81 ,,,"$3,189,322 ",,"$6,007,779 ",,"664,365 ",,"5,112 ",,"3,323,914 ",,"49,706 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",VP,DO,"1,608",,$2.09 ,,0.69 ,,$18.01 ,,6.0 ,,$3.01 ,,$0.16 ,,,"$7,224,125 ",,"$10,427,848 ",,"3,464,738 ",,"579,024 ",,"65,559,773 ",,"15,043,713 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",TB,DO,140,,$1.32 ,,0.33 ,,$154.68 ,,38.8 ,,$3.98 ,,$2.08 ,,,"$23,655,207 ",,"$71,487,600 ",,"17,950,742 ",,"462,179 ",,"34,367,474 ",,"3,086,246 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,150",SR,DO,10,,$0.83 ,,0.13 ,,$246.69 ,,39.6 ,,$6.23 ,,$5.66 ,,,"$1,405,910 ",,"$10,503,016 ",,"1,685,668 ",,"42,576 ",,"1,856,308 ",,"207,850 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,139",HR,DO,888,,$2.34 ,,0.51 ,,$295.22 ,,64.8 ,,$4.56 ,,$0.79 ,,,"$536,496,025 ",,"$1,044,384,320 ",,"229,233,254 ",,"3,537,625 ",,"1,314,002,629 ",,"81,751,483 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,139",DR,PT,729,,$4.00 ,,0.07 ,,$58.94 ,,1.1 ,,$55.63 ,,$5.26 ,,,"$9,041,285 ",,"$125,784,310 ",,"2,261,107 ",,"2,134,116 ",,"23,930,248 ",,"20,337,418 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,139",DT,PT,244,,$5.34 ,,0.05 ,,$154.01 ,,1.4 ,,$107.88 ,,$5.86 ,,,"$659,001 ",,"$13,323,987 ",,"123,505 ",,"86,511 ",,"2,273,415 ",,"2,077,424 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,139",MB,DO,"1,278",,$1.03 ,,0.18 ,,$179.88 ,,31.8 ,,$5.66 ,,$1.85 ,,,"$123,209,808 ",,"$677,631,392 ",,"119,681,096 ",,"3,767,231 ",,"366,498,831 ",,"37,061,070 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,711",MB,DO,"1,569",,$1.15 ,,0.34 ,,$140.59 ,,41.8 ,,$3.36 ,,$1.38 ,,,"$279,555,025 ",,"$814,581,632 ",,"242,173,010 ",,"5,794,197 ",,"591,323,738 ",,"52,314,606 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,711",HR,DO,"1,142",,$1.39 ,,0.51 ,,$151.88 ,,55.5 ,,$2.74 ,,$0.44 ,,,"$314,065,224 ",,"$617,865,221 ",,"225,894,953 ",,"4,068,066 ",,"1,401,502,999 ",,"73,461,555 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",CB,PT,64,,$2.85 ,,0.47 ,,$140.91 ,,23.1 ,,$6.11 ,,$0.32 ,,,"$5,144,911 ",,"$11,006,029 ",,"1,802,379 ",,"78,109 ",,"33,923,059 ",,"2,194,786 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",MB,DO,598,,$0.50 ,,0.09 ,,$117.21 ,,20.9 ,,$5.61 ,,$1.18 ,,,"$25,200,168 ",,"$281,474,853 ",,"50,175,599 ",,"2,401,525 ",,"238,829,128 ",,"29,226,868 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",VP,PT,570,,$3.79 ,,0.65 ,,$47.85 ,,8.1 ,,$5.87 ,,$0.19 ,,,"$2,908,628 ",,"$4,504,483 ",,"766,954 ",,"94,141 ",,"23,629,031 ",,"3,492,035 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",VP,DO,562,,$3.37 ,,1.12 ,,$25.43 ,,8.4 ,,$3.02 ,,$0.10 ,,,"$3,746,358 ",,"$3,354,280 ",,"1,110,373 ",,"131,902 ",,"34,502,571 ",,"4,926,881 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",LR,DO,54,,$0.28 ,,0.07 ,,$264.14 ,,63.2 ,,$4.18 ,,$1.48 ,,,"$5,307,172 ",,"$79,277,412 ",,"18,980,255 ",,"300,133 ",,"53,624,968 ",,"3,535,806 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",DR,PT,327,,$0.99 ,,0.03 ,,$47.66 ,,1.6 ,,$29.43 ,,$2.75 ,,,"$1,760,157 ",,"$52,225,720 ",,"1,774,466 ",,"1,095,704 ",,"19,003,294 ",,"17,168,294 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",CB,DO,248,,$2.76 ,,0.33 ,,$188.72 ,,22.3 ,,$8.45 ,,$0.44 ,,,"$16,741,957 ",,"$51,225,658 ",,"6,062,400 ",,"271,439 ",,"115,745,334 ",,"6,771,331 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",DT,PT,135,,$1.25 ,,0.09 ,,$49.60 ,,3.4 ,,$14.61 ,,$1.39 ,,,"$310,508 ",,"$3,632,683 ",,"248,709 ",,"73,234 ",,"2,619,565 ",,"2,188,481 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,659",MB,PT,101,,$0.50 ,,0.09 ,,$103.57 ,,19.3 ,,$5.36 ,,$1.23 ,,,"$4,679,220 ",,"$50,235,648 ",,"9,379,412 ",,"485,050 ",,"40,980,999 ",,"5,850,057 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",FB,PT,9,,$7.35 ,,0.82 ,,$589.40 ,,65.9 ,,$8.94 ,,$1.12 ,,,"$11,007,657 ",,"$13,390,544 ",,"1,497,251 ",,"22,719 ",,"11,986,627 ",,"227,678 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",MB,PT,8,,$0.21 ,,0.06 ,,$86.84 ,,25.9 ,,$3.36 ,,$1.53 ,,,"$187,120 ",,"$2,959,597 ",,"881,853 ",,"34,081 ",,"1,932,775 ",,"400,947 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",MB,DO,775,,$0.95 ,,0.23 ,,$174.17 ,,43.1 ,,$4.04 ,,$1.56 ,,,"$96,475,093 ",,"$411,614,672 ",,"101,809,480 ",,"2,363,242 ",,"263,405,058 ",,"21,180,599 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",DR,PT,653,,$2.93 ,,0.05 ,,$78.82 ,,1.4 ,,$57.99 ,,$7.30 ,,,"$5,737,517 ",,"$113,410,825 ",,"1,955,578 ",,"1,438,886 ",,"15,540,423 ",,"16,315,237 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",CR,PT,436,,$6.97 ,,0.62 ,,$449.43 ,,39.7 ,,$11.32 ,,$0.55 ,,,"$229,103,721 ",,"$371,909,742 ",,"32,859,741 ",,"827,523 ",,"680,949,680 ",,"24,565,346 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",RB,DO,34,,$1.00 ,,0.30 ,,$278.79 ,,83.4 ,,$3.34 ,,$1.76 ,,,"$10,590,933 ",,"$35,219,290 ",,"10,540,640 ",,"126,329 ",,"19,967,570 ",,"1,032,038 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",HR,DO,336,,$1.37 ,,0.74 ,,$192.81 ,,104.5 ,,$1.84 ,,$0.52 ,,,"$223,384,553 ",,"$301,638,488 ",,"163,515,168 ",,"1,564,423 ",,"576,500,980 ",,"23,313,396 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",TB,DO,21,,$0.73 ,,0.06 ,,$487.09 ,,39.7 ,,$12.27 ,,$5.28 ,,,"$1,888,300 ",,"$31,542,892 ",,"2,570,292 ",,"64,758 ",,"5,976,543 ",,"549,870 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,423",LR,DO,151,,$1.43 ,,0.38 ,,$302.62 ,,80.4 ,,$3.76 ,,$1.51 ,,,"$81,353,000 ",,"$213,658,148 ",,"56,768,835 ",,"706,032 ",,"141,734,607 ",,"5,986,849 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",MB,PT,6,,$1.39 ,,0.10 ,,$111.37 ,,8.2 ,,$13.51 ,,$2.43 ,,,"$112,328 ",,"$1,090,670 ",,"80,717 ",,"9,793 ",,"449,102 ",,"165,337 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",DR,PT,409,,$3.86 ,,0.10 ,,$58.61 ,,1.5 ,,$38.29 ,,$5.35 ,,,"$6,004,836 ",,"$59,532,018 ",,"1,554,597 ",,"1,015,704 ",,"11,118,969 ",,"10,478,405 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",CR,DO,349,,$4.49 ,,0.48 ,,$295.31 ,,31.4 ,,$9.42 ,,$0.70 ,,,"$144,711,466 ",,"$303,658,609 ",,"32,245,981 ",,"1,028,269 ",,"436,335,049 ",,"20,153,941 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",TB,DO,30,,$1.17 ,,0.41 ,,$162.66 ,,57.6 ,,$2.83 ,,$1.39 ,,,"$5,951,062 ",,"$14,365,949 ",,"5,085,024 ",,"88,318 ",,"10,309,799 ",,"741,986 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",HR,DO,285,,$1.20 ,,0.56 ,,$216.47 ,,101.4 ,,$2.13 ,,$0.56 ,,,"$113,037,368 ",,"$200,674,425 ",,"94,005,114 ",,"927,014 ",,"359,405,111 ",,"16,971,260 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",SR,DO,121,,$1.16 ,,0.39 ,,$209.90 ,,70.9 ,,$2.96 ,,$1.28 ,,,"$29,083,693 ",,"$74,007,135 ",,"24,999,649 ",,"352,583 ",,"57,709,428 ",,"3,096,378 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,372",MB,DO,"1,172",,$1.07 ,,0.27 ,,$155.10 ,,39.8 ,,$3.90 ,,$1.38 ,,,"$172,156,198 ",,"$629,760,584 ",,"161,454,460 ",,"4,060,275 ",,"455,192,052 ",,"40,164,866 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",MB,DO,638,,$0.77 ,,0.16 ,,$163.00 ,,34.1 ,,$4.78 ,,$1.27 ,,,"$49,439,100 ",,"$305,037,900 ",,"63,797,467 ",,"1,871,426 ",,"239,277,791 ",,"20,816,666 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",HR,DO,54,,$1.29 ,,0.18 ,,$344.37 ,,48.1 ,,$7.16 ,,$1.74 ,,,"$11,513,200 ",,"$63,832,691 ",,"8,916,972 ",,"185,363 ",,"36,790,501 ",,"4,633,205 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",DR,PT,466,,$1.50 ,,0.03 ,,$67.28 ,,1.5 ,,$45.63 ,,$4.83 ,,,"$3,183,387 ",,"$97,039,187 ",,"2,126,485 ",,"1,442,215 ",,"20,078,289 ",,"17,943,666 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",DT,PT,38,,$2.57 ,,0.11 ,,$104.26 ,,4.4 ,,$23.88 ,,$4.66 ,,,"$2,087,206 ",,"$19,396,997 ",,"812,390 ",,"186,045 ",,"4,165,815 ",,"3,229,314 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",LR,DO,38,,$0.97 ,,0.16 ,,$290.52 ,,49.0 ,,$5.93 ,,$0.98 ,,,"$7,177,100 ",,"$43,950,196 ",,"7,416,504 ",,"151,280 ",,"44,778,153 ",,"2,988,892 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",CB,PT,280,,$5.26 ,,0.31 ,,$268.34 ,,15.8 ,,$16.99 ,,$0.59 ,Q,,"$20,089,000 ",,"$64,882,934 ",,"3,819,821 ",,"241,797 ",,"109,737,234 ",Q,"6,515,171 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",CR,PT,159,,$5.63 ,,0.33 ,,$941.73 ,,54.5 ,,$17.26 ,,$0.58 ,,,"$52,484,000 ",,"$161,020,606 ",,"9,326,683 ",,"170,983 ",,"275,491,545 ",,"6,508,708 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,683",DR,DO,10,,$1.05 ,,0.02 ,,$97.74 ,,1.4 ,,$68.99 ,,$9.46 ,,,"$16,278 ",,"$1,066,902 ",,"15,465 ",,"10,916 ",,"112,793 ",,"61,798 ",,No,,,,,,
