Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",LR,PT,42,,$1.02 ,,0.20 ,,$685.23 ,,135.4 ,,$5.06 ,,$1.29 ,,,"$15,693,414 ",,"$78,168,765 ",,"15,450,736 ",,"114,076 ",,"60,389,250 ",,"1,951,272 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",YR,PT,16,,$0.84 ,,0.07 ,,$610.02 ,,52.7 ,,$11.57 ,,$0.79 ,,,"$2,314,968 ",,"$31,765,627 ",,"2,746,696 ",,"52,073 ",,"40,272,993 ",,"1,299,376 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","4,056",LR,DO,14,,$0.95 ,,0.26 ,,$419.19 ,,112.6 ,,$3.72 ,,$1.63 ,,,"$5,452,504 ",,"$21,305,047 ",,"5,724,544 ",,"50,824 ",,"13,075,858 ",,"512,245 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",MB,DO,"1,777",,$0.82 ,,0.24 ,,$159.03 ,,46.1 ,,$3.45 ,,$0.84 ,,,"$243,320,962 ",,"$1,025,867,076 ",,"297,645,917 ",,"6,450,832 ",,"1,217,655,744 ",,"68,503,553 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",VP,PT,"1,378",,$3.90 ,,1.07 ,,$19.15 ,,5.3 ,,$3.63 ,,$0.08 ,,,"$15,682,409 ",,"$14,628,264 ",,"4,025,577 ",,"763,949 ",,"182,841,314 ",,"32,197,552 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",LR,DO,161,,$0.77 ,,0.15 ,,$479.94 ,,93.6 ,,$5.13 ,,$0.74 ,,,"$47,807,077 ",,"$318,210,204 ",,"62,085,975 ",,"663,023 ",,"427,260,143 ",,"13,746,952 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",MB,PT,125,,$0.47 ,,0.17 ,,$83.66 ,,31.1 ,,$2.69 ,,$0.60 ,,,"$7,111,289 ",,"$40,782,420 ",,"15,141,692 ",,"487,495 ",,"67,971,607 ",,"5,679,764 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",HR,DO,70,,$0.78 ,,0.25 ,,$444.27 ,,145.5 ,,$3.05 ,,$0.63 ,,,"$35,789,506 ",,"$140,453,279 ",,"46,003,795 ",,"316,145 ",,"224,277,713 ",,"6,884,795 ",,No,,,,,,
Los Angeles County Metropolitan Transportation Authority dba: Metro,Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,544",RB,DO,33,,$0.77 ,,0.18 ,,$268.98 ,,63.1 ,,$4.27 ,,$0.66 ,,,"$6,245,395 ",,"$34,477,102 ",,"8,082,226 ",,"128,179 ",,"52,054,043 ",,"1,977,433 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,172",MB,DO,"1,301",,$1.10 ,,0.24 ,,$152.30 ,,32.9 ,,$4.63 ,,$1.48 ,,,"$141,053,043 ",,"$590,647,746 ",,"127,687,553 ",,"3,878,257 ",,"399,016,612 ",,"39,363,678 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,172",HR,DO,954,,$2.31 ,,0.57 ,,$316.18 ,,78.6 ,,$4.02 ,,$0.68 ,,,"$574,350,853 ",,"$1,002,200,678 ",,"249,173,213 ",,"3,169,674 ",,"1,475,685,198 ",,"77,967,423 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,172",DR,PT,642,,$3.95 ,,0.08 ,,$55.64 ,,1.1 ,,$48.99 ,,$6.23 ,,,"$8,571,127 ",,"$106,347,886 ",,"2,170,706 ",,"1,911,342 ",,"17,081,000 ",,"18,912,329 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,172",DT,PT,275,,$5.30 ,,0.06 ,,$126.57 ,,1.4 ,,$89.08 ,,$5.39 ,,,"$585,277 ",,"$9,828,917 ",,"110,338 ",,"77,658 ",,"1,822,138 ",,"1,822,138 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",VP,DO,"1,469",,$2.06 ,,0.81 ,,$16.67 ,,6.5 ,,$2.55 ,,$0.13 ,,,"$7,293,271 ",,"$9,042,386 ",,"3,540,538 ",,"542,569 ",,"68,191,343 ",,"14,879,324 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",MB,DO,949,,$1.38 ,,0.30 ,,$160.80 ,,34.7 ,,$4.64 ,,$0.98 ,,,"$139,001,364 ",,"$468,335,938 ",,"100,924,131 ",,"2,912,539 ",,"480,196,177 ",,"32,450,352 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",DR,PT,174,,$1.10 ,,0.02 ,,$100.29 ,,1.5 ,,$67.49 ,,$6.04 ,,,"$957,269 ",,"$58,765,608 ",,"870,776 ",,"585,957 ",,"9,725,896 ",,"7,934,196 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",TB,DO,138,,$1.20 ,,0.35 ,,$144.20 ,,42.2 ,,$3.42 ,,$1.87 ,,,"$22,872,383 ",,"$64,943,077 ",,"18,999,529 ",,"450,367 ",,"34,676,186 ",,"3,063,846 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",DT,PT,46,,$3.98 ,,0.33 ,,$30.87 ,,2.5 ,,$12.15 ,,$0.88 ,,,"$440,458 ",,"$1,344,084 ",,"110,665 ",,"43,545 ",,"1,532,467 ",,"1,336,929 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",MB,PT,32,,$1.26 ,,0.13 ,,$110.81 ,,11.8 ,,$9.43 ,,$2.34 ,,,"$1,229,557 ",,"$9,226,895 ",,"978,883 ",,"83,266 ",,"3,937,786 ",,"1,141,070 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",SR,DO,8,,$0.92 ,W,0.14 ,,$227.68 ,,34.4 ,W,$6.62 ,W,$5.78 ,W,,"$1,250,080 ",,"$8,986,612 ",,"1,358,297 ",W,"39,471 ",,"1,555,281 ",W,"191,472 ",,Yes,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","2,818",FB,DO,2,,$4.12 ,,0.49 ,,$999.85 ,,118.2 ,,$8.46 ,,$1.71 ,,,"$2,477,371 ",,"$5,091,238 ",,"601,942 ",,"5,092 ",,"2,976,252 ",,"51,704 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,712",MB,DO,"1,572",,$1.08 ,,0.35 ,,$139.14 ,,45.0 ,,$3.09 ,,$1.26 ,,,"$280,077,543 ",,"$801,281,245 ",,"259,058,440 ",,"5,758,937 ",,"633,607,162 ",,"52,304,804 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,712",HR,DO,"1,140",,$1.26 ,,0.51 ,,$148.10 ,,59.6 ,,$2.49 ,,$0.41 ,,,"$301,110,125 ",,"$593,105,156 ",,"238,645,812 ",,"4,004,874 ",,"1,445,244,645 ",,"71,811,535 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",MB,DO,779,,$0.76 ,,0.21 ,,$187.31 ,,51.6 ,,$3.63 ,,$1.38 ,,,"$86,360,860 ",,"$410,143,437 ",,"112,957,026 ",,"2,189,702 ",,"296,876,855 ",,"22,704,051 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",DR,PT,612,,$2.74 ,,0.06 ,,$80.07 ,,1.7 ,,$46.62 ,,$5.98 ,,,"$6,004,661 ",,"$102,005,012 ",,"2,187,785 ",,"1,273,984 ",,"17,047,364 ",,"17,828,666 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",CR,PT,421,,$5.86 ,,0.49 ,,$514.21 ,,43.1 ,,$11.93 ,,$0.58 ,,,"$198,331,440 ",,"$403,654,786 ",,"33,830,904 ",,"785,000 ",,"697,963,284 ",,"23,532,668 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",HR,DO,336,,$1.27 ,,0.63 ,,$232.19 ,,114.7 ,,$2.02 ,,$0.58 ,,,"$222,241,032 ",,"$353,373,437 ",,"174,517,352 ",,"1,521,944 ",,"612,346,781 ",,"23,247,288 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",LR,DO,156,,$1.28 ,,0.44 ,,$264.56 ,,91.8 ,,$2.88 ,,$1.08 ,,,"$82,500,965 ",,"$186,021,573 ",,"64,538,406 ",,"703,128 ",,"171,740,181 ",,"6,499,541 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",RB,DO,30,,$1.04 ,,0.58 ,,$160.91 ,,90.0 ,,$1.79 ,,$0.97 ,,,"$11,818,751 ",,"$20,322,531 ",,"11,371,335 ",,"126,294 ",,"20,862,301 ",,"1,064,618 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",TB,DO,22,,$1.27 ,,0.17 ,,$342.51 ,,46.2 ,,$7.42 ,,$3.42 ,,,"$1,666,656 ",,"$9,742,913 ",,"1,313,820 ",,"28,446 ",,"2,846,617 ",,"257,499 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",FB,PT,9,,$6.74 ,,0.74 ,,$567.49 ,,62.3 ,,$9.11 ,,$1.11 ,,,"$9,882,834 ",,"$13,357,578 ",,"1,466,612 ",,"23,538 ",,"12,027,991 ",,"230,425 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,374",MB,PT,9,,$0.30 ,,0.10 ,,$73.89 ,,24.6 ,,$3.01 ,,$1.30 ,,,"$248,844 ",,"$2,467,425 ",,"820,494 ",,"33,392 ",,"1,903,546 ",,"390,655 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",MB,DO,"1,174",,$0.96 ,,0.28 ,,$158.40 ,,46.0 ,,$3.44 ,,$1.07 ,,,"$174,306,296 ",,"$628,216,161 ",,"182,484,615 ",,"3,966,008 ",,"587,747,642 ",,"39,793,477 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",DR,PT,391,,$3.42 ,,0.11 ,,$51.20 ,,1.6 ,,$31.46 ,,$4.51 ,,,"$6,128,073 ",,"$56,376,514 ",,"1,792,284 ",,"1,101,034 ",,"12,508,326 ",,"11,310,034 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",CR,DO,339,,$4.20 ,,0.57 ,,$292.32 ,,39.5 ,,$7.40 ,,$0.59 ,,,"$151,908,278 ",,"$267,844,193 ",,"36,187,570 ",,"916,264 ",,"455,691,636 ",,"19,334,288 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",HR,DO,284,,$1.05 ,,0.54 ,,$211.47 ,,109.3 ,,$1.93 ,,$0.44 ,,,"$107,112,684 ",,"$197,091,759 ",,"101,883,835 ",,"932,000 ",,"452,194,921 ",,"17,265,382 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",SR,DO,121,,$1.13 ,,0.41 ,,$183.04 ,,66.5 ,,$2.75 ,,$1.13 ,,,"$29,109,234 ",,"$70,949,147 ",,"25,766,746 ",,"387,621 ",,"62,557,838 ",,"3,307,488 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,339",TB,DO,30,,$1.01 ,,0.46 ,,$139.18 ,,63.0 ,,$2.21 ,,$1.14 ,,,"$6,563,604 ",,"$14,353,926 ",,"6,500,276 ",,"103,135 ",,"12,579,178 ",,"875,662 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",VP,PT,686,,$3.21 ,,0.65 ,,$42.00 ,,8.6 ,,$4.90 ,,$0.17 ,,,"$7,109,467 ",,"$10,866,969 ",,"2,217,577 ",,"258,720 ",,"65,458,980 ",,"9,349,083 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",MB,DO,586,,$0.44 ,,0.08 ,,$115.96 ,,21.0 ,,$5.53 ,,$1.08 ,,,"$21,773,980 ",,"$272,611,938 ",,"49,296,860 ",,"2,350,943 ",,"253,126,149 ",,"28,706,380 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",DR,PT,338,,$0.97 ,,0.04 ,,$43.58 ,,1.6 ,,$27.70 ,,$2.47 ,,,"$1,615,163 ",,"$45,954,976 ",,"1,659,276 ",,"1,054,607 ",,"18,641,406 ",,"16,177,939 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",CB,DO,235,,$3.68 ,,0.48 ,,$200.25 ,,26.1 ,,$7.66 ,,$0.44 ,,,"$23,669,161 ",,"$49,267,711 ",,"6,433,259 ",,"246,025 ",,"112,626,224 ",,"6,184,864 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",DT,PT,127,,$1.31 ,,0.10 ,,$44.79 ,,3.5 ,,$12.85 ,,$1.26 ,,,"$351,790 ",,"$3,462,746 ",,"269,486 ",,"77,309 ",,"2,738,026 ",,"2,296,996 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",MB,PT,116,,$0.40 ,,0.08 ,,$102.44 ,,19.1 ,,$5.37 ,,$1.31 ,,,"$3,851,255 ",,"$51,327,491 ",,"9,555,173 ",,"501,029 ",,"39,083,777 ",,"6,022,798 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",CB,PT,64,,$3.15 ,,0.62 ,,$137.27 ,,27.0 ,,$5.09 ,,$0.25 ,,,"$6,313,129 ",,"$10,213,018 ",,"2,007,142 ",,"74,399 ",,"40,060,503 ",,"2,088,875 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,206",LR,DO,54,,$0.31 ,,0.09 ,,$202.45 ,,61.3 ,,$3.30 ,,$1.17 ,,,"$5,684,894 ",,"$61,232,514 ",,"18,532,122 ",,"302,455 ",,"52,480,736 ",,"3,420,828 ",,No,,,,,,
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","1,955",DT,PT,"1,169",,$2.47 ,,0.07 ,,$93.83 ,,2.6 ,,$36.08 ,,$2.41 ,,,"$3,767,954 ",,"$54,964,648 ",,"1,523,571 ",,"585,805 ",,"22,841,529 ",,"13,317,101 ",,No,,,,,,
Access Services,El Monte,CA,9157,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","1,955",DR,PT,786,,$2.09 ,,0.07 ,,$50.21 ,,1.6 ,,$30.79 ,,$2.59 ,,,"$5,798,315 ",,"$84,972,042 ",,"2,769,809 ",,"1,698,302 ",,"32,902,101 ",,"24,707,073 ",,No,,,,,,
Puerto Rico Highway and Transportation Authority - Publico,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ","1,884",PB,PT,"1,884",,$1.43 ,,0.97 ,,$18.01 ,,12.2 ,,$1.48 ,,$0.35 ,,,"$30,564,583 ",,"$31,514,432 ",,"21,353,376 ",,"1,750,054 ",,"90,291,870 ",,"19,279,388 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",MB,DO,627,,$0.78 ,,0.22 ,,$153.04 ,,42.5 ,,$3.60 ,,$1.00 ,,,"$59,288,948 ",,"$272,115,276 ",,"75,619,281 ",,"1,778,027 ",,"271,568,640 ",,"20,140,861 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",DR,PT,458,,$0.94 ,,0.02 ,,$64.66 ,,1.6 ,,$40.44 ,,$4.33 ,,,"$1,860,668 ",,"$80,153,039 ",,"1,981,855 ",,"1,239,648 ",,"18,511,796 ",,"17,172,195 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",CB,PT,280,,$4.66 ,,0.42 ,,$206.70 ,,18.6 ,,$11.09 ,,$0.27 ,,,"$18,285,360 ",,"$43,566,514 ",,"3,928,069 ",,"210,768 ",,"163,486,232 ",,"6,285,675 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",CR,PT,142,,$5.61 ,,0.36 ,,$841.15 ,,54.0 ,,$15.57 ,,$0.52 ,,,"$50,280,031 ",,"$139,558,116 ",,"8,961,892 ",,"165,914 ",,"266,288,367 ",,"6,386,294 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",HR,DO,54,,$1.13 ,,0.26 ,,$257.91 ,,59.6 ,,$4.33 ,,$0.92 ,,,"$13,807,015 ",,"$52,860,997 ",,"12,221,949 ",,"204,958 ",,"57,376,807 ",,"5,003,458 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",LR,DO,38,,$1.09 ,,0.19 ,,$268.32 ,,45.8 ,,$5.86 ,,$0.85 ,,,"$8,121,774 ",,"$43,513,880 ",,"7,431,060 ",,"162,173 ",,"51,174,928 ",,"3,138,056 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,634",DT,PT,35,,$2.95 ,,0.16 ,,$74.88 ,,4.0 ,,$18.77 ,,$2.21 ,,,"$1,722,735 ",,"$10,953,516 ",,"583,459 ",,"146,288 ",,"4,957,304 ",,"2,360,621 ",,No,,,,,,
