Name,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",SR,DO,8,,$0.97 ,,0.14 ,,$241.77 ,,35.2 ,,$6.87 ,,$6.26 ,,,"$1,368,135 ",,"$9,738,639 ",,"1,417,507 ",,"40,280 ",,"1,556,551 ",,"193,810 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",DT,PT,52,,$3.97 ,,0.34 ,,$31.22 ,,2.7 ,,$11.76 ,,$0.75 ,,,"$412,730 ",,"$1,220,979 ",,"103,861 ",,"39,114 ",,"1,626,743 ",,"1,411,445 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",DR,PT,320,,$1.01 ,,0.01 ,,$100.56 ,,1.3 ,,$74.79 ,,$7.47 ,,,"$863,494 ",,"$63,879,758 ",,"854,155 ",,"635,259 ",,"8,550,338 ",,"7,802,103 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",MB,PT,29,,$1.26 ,,0.14 ,,$111.00 ,,12.2 ,,$9.14 ,,$2.38 ,,,"$1,109,846 ",,"$8,071,455 ",,"883,578 ",,"72,713 ",,"3,386,876 ",,"964,917 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",FB,DO,2,,$4.37 ,,0.44 ,,"$1,208.96 ",,122.7 ,,$9.85 ,,$1.98 ,,,"$2,620,614 ",,"$5,909,413 ",,"599,954 ",,"4,888 ",,"2,992,092 ",,"48,762 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",VP,DO,"1,617",,$2.10 ,,0.78 ,,$17.24 ,,6.4 ,,$2.68 ,,$0.15 ,,,"$7,622,086 ",,"$9,713,077 ",,"3,626,422 ",,"563,263 ",,"65,856,719 ",,"15,199,378 ",,No,,,,,,
King County Department of Transportation,Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,154",TB,DO,140,,$1.18 ,,0.32 ,,$152.89 ,,41.7 ,,$3.66 ,,$1.94 ,,,"$22,808,461 ",,"$70,853,735 ",,"19,339,147 ",,"463,444 ",,"36,445,193 ",,"3,130,521 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,129",HR,DO,954,,$2.30 ,,0.53 ,,$309.37 ,,70.8 ,,$4.37 ,,$0.75 ,,,"$521,845,597 ",,"$992,646,766 ",,"227,053,037 ",,"3,208,614 ",,"1,326,262,650 ",,"78,379,605 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,129",DR,PT,633,,$4.01 ,,0.08 ,,$56.70 ,,1.1 ,,$49.66 ,,$5.40 ,,,"$8,870,258 ",,"$109,855,139 ",,"2,212,193 ",,"1,937,617 ",,"20,352,131 ",,"19,114,755 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,129",DT,PT,252,,$5.05 ,,0.07 ,,$119.82 ,,1.6 ,,$76.92 ,,$4.98 ,,,"$790,217 ",,"$12,026,450 ",,"156,356 ",,"100,371 ",,"2,416,262 ",,"2,215,257 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,129",MB,DO,"1,290",,$1.05 ,,0.20 ,,$159.82 ,,31.2 ,,$5.13 ,,$1.71 ,,,"$129,035,457 ",,"$631,132,672 ",,"123,124,352 ",,"3,949,021 ",,"369,020,804 ",,"40,026,923 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,719",MB,DO,"1,579",,$1.08 ,,0.33 ,,$140.45 ,,43.2 ,,$3.25 ,,$1.32 ,,,"$270,336,920 ",,"$810,708,270 ",,"249,231,171 ",,"5,772,259 ",,"613,043,935 ",,"52,290,416 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,719",HR,DO,"1,140",,$1.28 ,,0.49 ,,$147.72 ,,56.3 ,,$2.62 ,,$0.44 ,,,"$294,492,127 ",,"$604,098,753 ",,"230,204,047 ",,"4,089,367 ",,"1,359,029,663 ",,"73,612,276 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",FB,PT,9,,$8.15 ,,1.13 ,,$464.52 ,,64.6 ,,$7.19 ,,$0.65 ,,,"$12,133,183 ",,"$10,714,967 ",,"1,489,508 ",,"23,067 ",,"16,570,127 ",,"227,257 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",MB,PT,8,,$0.27 ,,0.09 ,,$82.68 ,,28.6 ,,$2.90 ,,$1.38 ,,,"$234,672 ",,"$2,513,438 ",,"868,211 ",,"30,398 ",,"1,825,365 ",,"380,300 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",MB,DO,767,,$0.93 ,,0.23 ,,$196.57 ,,47.7 ,,$4.12 ,,$1.58 ,,,"$98,035,221 ",,"$434,511,798 ",,"105,457,861 ",,"2,210,516 ",,"274,990,173 ",,"21,669,220 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",DR,PT,689,,$3.06 ,,0.06 ,,$76.64 ,,1.5 ,,$52.13 ,,$6.06 ,,,"$6,070,760 ",,"$103,493,764 ",,"1,985,115 ",,"1,350,443 ",,"17,077,017 ",,"17,667,292 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",CR,PT,436,,$6.43 ,,0.55 ,,$499.33 ,,42.5 ,,$11.75 ,,$0.57 ,,,"$218,382,654 ",,"$399,040,465 ",,"33,949,637 ",,"799,152 ",,"697,665,040 ",,"24,911,491 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",HR,DO,336,,$1.39 ,,0.64 ,,$230.57 ,,106.6 ,,$2.16 ,,$0.64 ,,,"$228,678,232 ",,"$355,050,078 ",,"164,102,709 ",,"1,539,889 ",,"557,734,891 ",,"23,634,793 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",RB,DO,30,,$1.03 ,,0.59 ,,$147.24 ,,83.9 ,,$1.75 ,,$0.93 ,,,"$10,838,085 ",,"$18,489,929 ",,"10,538,096 ",,"125,579 ",,"19,893,655 ",,"1,064,286 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",TB,DO,22,,$0.96 ,,0.16 ,,$261.08 ,,43.0 ,,$6.07 ,,$2.65 ,,,"$1,916,535 ",,"$12,062,585 ",,"1,988,765 ",,"46,202 ",,"4,559,747 ",,"427,322 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,453",LR,DO,156,,$1.34 ,,0.44 ,,$279.95 ,,93.2 ,,$3.00 ,,$1.18 ,,,"$83,191,624 ",,"$187,119,893 ",,"62,296,430 ",,"668,402 ",,"158,992,398 ",,"5,918,680 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",MB,PT,6,,$1.24 ,,0.08 ,,$103.02 ,,6.7 ,,$15.27 ,,$2.64 ,W,,"$84,576 ",,"$1,042,658 ",,"68,277 ",,"10,121 ",,"395,329 ",W,"166,575 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",DR,PT,394,,$3.45 ,,0.09 ,,$59.49 ,,1.6 ,,$37.36 ,,$5.23 ,,,"$5,883,824 ",,"$63,679,395 ",,"1,704,463 ",,"1,070,395 ",,"12,173,363 ",,"11,184,357 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",CR,DO,350,,$4.12 ,,0.51 ,,$293.89 ,,36.2 ,,$8.12 ,,$0.63 ,,,"$136,979,155 ",,"$269,646,215 ",,"33,209,489 ",,"917,500 ",,"426,163,583 ",,"19,449,298 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",TB,DO,30,,$0.96 ,,0.40 ,,$151.11 ,,63.9 ,,$2.36 ,,$1.21 ,,,"$5,906,220 ",,"$14,589,899 ",,"6,171,031 ",,"96,552 ",,"12,105,313 ",,"809,765 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",HR,DO,286,,$1.08 ,,0.50 ,,$222.97 ,,103.6 ,,$2.15 ,,$0.59 ,,,"$101,684,198 ",,"$202,060,773 ",,"93,879,889 ",,"906,207 ",,"344,859,706 ",,"16,799,585 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",SR,DO,122,,$0.97 ,,0.35 ,,$194.89 ,,71.4 ,,$2.73 ,,$1.13 ,,,"$25,710,304 ",,"$72,513,107 ",,"26,549,260 ",,"372,070 ",,"64,152,704 ",,"3,193,515 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,375",MB,DO,"1,187",,$1.05 ,,0.27 ,,$158.20 ,,41.1 ,,$3.85 ,,$1.18 ,,,"$170,604,460 ",,"$628,361,295 ",,"163,167,788 ",,"3,971,902 ",,"531,848,827 ",,"39,448,920 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",CB,PT,64,,$3.37 ,,0.56 ,,$146.98 ,,24.5 ,,$5.99 ,,$0.30 ,,,"$6,104,211 ",,"$10,853,594 ",,"1,811,583 ",,"73,842 ",,"36,304,252 ",,"2,071,004 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",VP,PT,604,,$3.33 ,,0.54 ,Q,$51.90 ,Q,8.5 ,,$6.12 ,Q,$0.20 ,Q,,"$6,533,083 ",,"$12,002,584 ",Q,"1,961,928 ",,"231,285 ",,"59,209,797 ",,"8,460,910 ",,Yes,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",MB,DO,591,,$0.43 ,,0.07 ,,$119.75 ,,20.7 ,,$5.77 ,,$1.13 ,,,"$21,071,735 ",,"$282,800,925 ",,"48,997,160 ",,"2,361,682 ",,"250,226,338 ",,"28,756,452 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",LR,DO,54,,$0.33 ,,0.09 ,,$227.04 ,,63.8 ,,$3.56 ,,$1.27 ,,,"$5,968,525 ",,"$65,168,737 ",,"18,319,444 ",,"287,042 ",,"51,261,219 ",,"3,330,168 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",DR,PT,327,,$1.17 ,,0.04 ,,$48.01 ,,1.6 ,,$29.75 ,,$2.68 ,,,"$1,953,704 ",,"$49,674,936 ",,"1,669,729 ",,"1,034,654 ",,"18,532,714 ",,"16,371,554 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",CB,DO,246,,$3.53 ,,0.41 ,,$204.86 ,,23.9 ,,$8.58 ,,$0.46 ,,,"$21,441,402 ",,"$52,070,736 ",,"6,071,063 ",,"254,179 ",,"112,867,945 ",,"6,329,043 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",DT,PT,134,,$1.56 ,,0.12 ,,$43.99 ,,3.3 ,,$13.25 ,,$1.24 ,,,"$380,874 ",,"$3,240,103 ",,"244,616 ",,"73,660 ",,"2,607,009 ",,"2,192,243 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,121",MB,PT,101,,$0.45 ,,0.08 ,,$103.42 ,,18.8 ,,$5.51 ,,$1.41 ,,,"$4,091,423 ",,"$49,883,126 ",,"9,053,603 ",,"482,350 ",,"35,347,719 ",,"5,819,829 ",,No,,,,,,
Puerto Rico Highway and Transportation Authority - Público,San Juan,PR,4105,40105,State Government Unit or Department of Transportation,Full Reporter,"2,148,346 ","1,726",PB,PT,"1,726",,$1.49 ,,0.97 ,,$18.24 ,,11.8 ,,$1.54 ,,$0.37 ,,,"$29,217,225 ",,"$30,147,034 ",,"19,555,033 ",,"1,653,064 ",,"81,048,151 ",,"18,006,357 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",DR,DO,8,,$0.93 ,,0.01 ,,$247.49 ,,1.4 ,,$180.09 ,,$24.33 ,,,"$4,316 ",,"$836,522 ",,"4,645 ",,"3,380 ",,"34,388 ",,"27,980 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",MB,DO,604,,$0.75 ,,0.17 ,,$174.13 ,,40.1 ,,$4.34 ,,$1.12 ,,,"$52,394,732 ",,"$303,743,294 ",,"69,934,287 ",,"1,744,315 ",,"270,836,888 ",,"19,808,157 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",HR,DO,54,,$1.17 ,,0.24 ,,$302.06 ,,60.9 ,,$4.96 ,,$1.05 ,,,"$12,202,211 ",,"$51,834,660 ",,"10,452,750 ",,"171,602 ",,"49,581,700 ",,"4,536,624 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",DR,PT,511,,$1.06 ,,0.03 ,,$55.93 ,,1.4 ,,$38.96 ,,$3.93 ,,,"$2,162,889 ",,"$79,810,591 ",,"2,048,276 ",,"1,426,913 ",,"20,294,804 ",,"18,597,991 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",LR,DO,38,,$0.98 ,,0.17 ,,$271.50 ,,46.8 ,,$5.80 ,,$0.88 ,,,"$7,177,772 ",,"$42,626,110 ",,"7,345,442 ",,"157,002 ",,"48,343,150 ",,"2,940,690 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",DT,PT,38,,$2.95 ,,0.14 ,,$87.57 ,,4.2 ,,$20.79 ,,$3.90 ,,,"$2,067,918 ",,"$14,572,748 ",,"700,989 ",,"166,410 ",,"3,736,277 ",,"2,830,513 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",CB,PT,280,,$5.15 ,,0.33 ,,$266.69 ,,17.0 ,,$15.68 ,,$0.35 ,,,"$19,930,945 ",,"$60,664,667 ",,"3,869,911 ",,"227,470 ",,"171,683,870 ",,"6,373,747 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,680",CR,PT,147,,$5.71 ,,0.37 ,,$838.99 ,,54.2 ,,$15.47 ,,$0.52 ,,,"$52,587,240 ",,"$142,591,765 ",,"9,215,084 ",,"169,957 ",,"272,481,938 ",,"6,494,190 ",,No,,,,,,
