Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,1,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",VP,PT,168,,$2.88 ,,0.17 ,,$124.59 ,,7.2 ,,$17.30 ,,$0.60 ,,,"$1,377,286 ",,"$8,271,706 ",,"478,068 ",,"66,394 ",,"13,794,462 ",,"2,881,885 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",YR,PT,16,,$0.79 ,,0.05 ,,$643.04 ,,43.3 ,,$14.86 ,,$0.95 ,,,"$1,714,596 ",,"$32,290,473 ",,"2,172,963 ",,"50,215 ",,"33,820,460 ",,"1,236,978 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,646",LR,DO,15,,$0.99 ,,0.19 ,,$451.55 ,,88.7 ,,$5.09 ,,$2.26 ,,,"$4,396,799 ",,"$22,598,623 ",,"4,437,270 ",,"50,047 ",,"9,991,369 ",,"470,004 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",HR,DO,68,,$0.59 ,,0.13 ,,$490.47 ,,108.4 ,,$4.52 ,,$0.93 ,,,"$19,945,220 ",,"$152,327,532 ",,"33,668,265 ",,"310,572 ",,"162,927,528 ",,"6,801,301 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",RB,DO,26,,$0.66 ,,0.16 ,,$223.24 ,,53.6 ,,$4.17 ,,$0.66 ,,,"$3,588,146 ",,"$22,487,353 ",,"5,398,482 ",,"100,730 ",,"33,978,651 ",,"1,564,354 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",LR,DO,203,,$0.63 ,,0.06 ,,$573.54 ,,55.7 ,,$10.30 ,,$1.36 ,,,"$26,593,581 ",,"$433,455,380 ",,"42,098,255 ",,"755,749 ",,"318,737,668 ",,"15,536,688 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",MB,DO,"1,784",,$0.62 ,,0.11 ,,$200.92 ,,36.6 ,,$5.49 ,,$1.38 ,,,"$131,511,508 ",,"$1,164,242,312 ",,"211,875,282 ",,"5,794,516 ",,"844,757,744 ",,"59,796,984 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",MB,PT,134,,$0.29 ,,0.05 ,,$117.71 ,,22.5 ,,$5.22 ,,$1.15 ,,,"$2,954,503 ",,"$53,815,861 ",,"10,303,587 ",,"457,203 ",,"46,736,330 ",,"5,361,670 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,482",VP,PT,"1,267",,$5.90 ,,1.00 ,,$25.62 ,,4.3 ,,$5.91 ,,$0.13 ,,,"$15,135,356 ",,"$15,145,114 ",,"2,563,168 ",,"591,048 ",,"116,497,421 ",,"24,415,911 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",DR,PT,327,,$1.51 ,,0.01 ,,$134.33 ,,1.1 ,,$123.00 ,,$12.31 ,,,"$686,170 ",,"$56,011,258 ",,"455,391 ",,"416,969 ",,"4,551,838 ",,"3,913,186 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",MB,PT,29,,$1.51 ,,0.06 ,,$140.50 ,,5.4 ,,$25.89 ,,$6.70 ,,,"$592,673 ",,"$10,148,485 ",,"391,935 ",,"72,232 ",,"1,514,647 ",,"779,440 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",FB,DO,2,,$3.64 ,,0.08 ,,"$2,440.31 ",,55.2 ,,$44.25 ,,$7.25 ,,,"$534,182 ",,"$6,500,976 ",,"146,930 ",,"2,664 ",,"896,100 ",,"35,948 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",VP,DO,"1,670",,$4.10 ,,0.53 ,,$57.16 ,,7.4 ,,$7.77 ,,$0.34 ,,,"$4,447,835 ",,"$8,433,948 ",,"1,084,802 ",,"147,548 ",,"24,936,518 ",,"5,295,537 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",TB,DO,127,,$0.61 ,W,0.07 ,,$201.13 ,,23.3 ,W,$8.62 ,W,$4.60 ,W,,"$5,074,010 ",,"$72,294,814 ",,"8,385,162 ",W,"359,439 ",,"15,704,827 ",W,"2,375,110 ",,Yes,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",DR,TX,126,,$0.13 ,,0.00 ,,$162.11 ,,2.9 ,,$56.43 ,,$4.86 ,,,"$11,536 ",,"$4,878,850 ",,"86,460 ",,"30,096 ",,"1,003,831 ",,"905,250 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",MB,DO,"1,080",,$0.89 ,,0.07 ,,$217.51 ,,16.8 ,,$12.93 ,,$3.00 ,,,"$43,705,165 ",,"$631,990,647 ",,"48,865,809 ",,"2,905,517 ",,"210,354,213 ",,"30,870,826 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,371",SR,DO,10,,$0.55 ,W,0.03 ,,$408.19 ,,25.6 ,W,$15.97 ,W,$12.83 ,W,,"$414,680 ",,"$11,968,636 ",,"749,443 ",W,"29,321 ",,"932,676 ",W,"147,792 ",,Yes,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,304",HR,DO,998,,$2.31 ,,0.35 ,,$337.24 ,,51.0 ,,$6.61 ,,$1.17 ,,,"$402,762,189 ",,"$1,153,775,048 ",,"174,540,714 ",,"3,421,264 ",,"985,922,295 ",,"79,847,615 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,304",DR,PT,718,,$3.63 ,,0.04 ,,$89.52 ,,1.0 ,,$91.60 ,,$8.22 ,,,"$6,097,071 ",,"$153,955,747 ",,"1,680,671 ",,"1,719,723 ",,"18,720,888 ",,"15,878,795 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,304",MB,PT,69,,$2.27 ,,0.31 ,,$128.85 ,,17.8 ,,$7.22 ,,$1.08 ,,,"$3,309,137 ",,"$9,933,796 ",,"1,460,056 ",,"81,811 ",,"9,769,903 ",,"1,245,302 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,304",DR,TX,310,,$5.08 ,,0.04 ,,$219.71 ,,1.7 ,,$130.20 ,,$9.14 ,,,"$578,543 ",,"$14,831,989 ",,"113,913 ",,"67,507 ",,"1,621,988 ",,"1,487,259 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,304",MB,DO,"1,209",,$0.84 ,,0.12 ,,$224.42 ,,30.9 ,,$7.27 ,,$2.61 ,,,"$80,206,835 ",,"$695,780,846 ",,"95,750,592 ",,"3,100,367 ",,"266,193,269 ",,"30,377,526 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,703",MB,DO,"1,555",,$1.10 ,,0.17 ,,$148.24 ,,22.4 ,,$6.62 ,,$2.67 ,,,"$133,760,413 ",,"$803,993,337 ",,"121,449,922 ",,"5,423,534 ",,"301,677,908 ",,"49,278,477 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,703",HR,DO,"1,148",,$1.35 ,,0.16 ,,$164.03 ,,19.7 ,,$8.32 ,,$1.32 ,W,,"$102,541,273 ",,"$632,460,361 ",,"76,049,871 ",,"3,855,798 ",,"480,210,760 ",W,"69,510,641 ",,Yes,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",FB,PT,9,,$8.29 ,,0.61 ,,$946.45 ,,70.1 ,,$13.50 ,,$1.59 ,,,"$9,895,123 ",,"$16,117,145 ",,"1,194,282 ",,"17,029 ",,"10,161,755 ",,"176,412 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",MB,DO,767,,$0.94 ,,0.16 ,,$203.92 ,,35.0 ,,$5.83 ,,$2.26 ,,,"$76,250,797 ",,"$471,278,231 ",,"80,891,824 ",,"2,311,113 ",,"208,952,722 ",,"19,713,478 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",RB,DO,65,,$0.91 ,,0.31 ,,$170.07 ,,57.1 ,,$2.98 ,,$1.44 ,,,"$8,415,415 ",,"$27,447,897 ",,"9,214,174 ",,"161,390 ",,"19,072,682 ",,"1,454,757 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",DR,PT,584,,$2.95 ,,0.03 ,,$106.20 ,,1.2 ,,$86.40 ,,$11.28 ,,,"$4,129,568 ",,"$120,782,662 ",,"1,397,996 ",,"1,137,343 ",,"10,710,752 ",,"12,048,450 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",MB,PT,53,,$0.16 ,W,0.02 ,,$52.88 ,,7.7 ,W,$6.84 ,W,$3.13 ,W,,"$119,336 ",,"$5,157,212 ",,"753,648 ",W,"97,518 ",,"1,649,471 ",W,"784,846 ",,Yes,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",CR,PT,436,,$8.20 ,,0.53 ,,$512.23 ,,33.0 ,,$15.52 ,,$0.75 ,,,"$202,929,763 ",,"$384,240,499 ",,"24,761,705 ",,"750,128 ",,"513,830,968 ",,"22,300,695 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",HR,DO,338,,$1.54 ,,0.55 ,,$243.74 ,,87.0 ,,$2.80 ,,$0.80 ,,,"$177,898,047 ",,"$323,930,534 ",,"115,683,733 ",,"1,328,990 ",,"407,181,618 ",,"22,203,578 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",TB,DO,22,,$0.74 ,,0.07 ,,$486.22 ,,45.7 ,,$10.64 ,,$4.58 ,,,"$1,511,126 ",,"$21,792,337 ",,"2,048,150 ",,"44,820 ",,"4,759,117 ",,"375,096 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,428",LR,DO,154,,$1.55 ,,0.35 ,,$259.22 ,,57.8 ,,$4.49 ,,$1.91 ,,,"$64,265,608 ",,"$186,046,342 ",,"41,465,243 ",,"717,709 ",,"97,602,251 ",,"5,241,369 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",MB,PT,6,,$1.15 ,,0.06 ,,$124.74 ,,6.8 ,,$18.26 ,,$2.86 ,,,"$60,647 ",,"$962,500 ",,"52,710 ",,"7,716 ",,"336,840 ",,"150,426 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",DR,PT,393,,$3.85 ,,0.08 ,,$69.82 ,,1.4 ,,$48.33 ,,$7.15 ,,,"$4,435,710 ",,"$55,675,486 ",,"1,151,930 ",,"797,436 ",,"7,785,430 ",,"7,854,344 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",CR,DO,357,,$4.26 ,W,0.35 ,,$364.25 ,,29.8 ,W,$12.23 ,W,$0.91 ,W,,"$107,244,993 ",,"$307,480,305 ",,"25,150,117 ",W,"844,136 ",,"338,253,606 ",W,"16,621,821 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",TB,DO,29,,$0.83 ,W,0.29 ,,$181.23 ,,63.9 ,W,$2.84 ,W,$1.39 ,W,,"$3,847,568 ",,"$13,189,156 ",,"4,647,076 ",W,"72,774 ",,"9,499,074 ",W,"611,268 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",HR,DO,286,,$1.21 ,W,0.43 ,,$213.12 ,,75.5 ,W,$2.82 ,W,$0.64 ,W,,"$86,166,256 ",,"$200,558,724 ",,"71,064,786 ",W,"941,080 ",,"314,489,396 ",W,"16,089,713 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",MB,DO,"1,217",,$1.09 ,W,0.20 ,,$170.68 ,,31.3 ,W,$5.46 ,W,$1.76 ,W,,"$129,925,436 ",,"$648,493,979 ",,"118,773,418 ",W,"3,799,434 ",,"369,136,718 ",W,"37,909,116 ",,Yes,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,406",SR,DO,118,,$1.04 ,W,0.29 ,,$227.39 ,,62.4 ,W,$3.65 ,W,$1.42 ,W,,"$21,595,907 ",,"$75,534,778 ",,"20,713,198 ",W,"332,182 ",,"53,250,744 ",W,"2,877,276 ",,Yes,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",RB,DO,8,,$0.08 ,,0.00 ,,$111.26 ,,4.5 ,,$24.64 ,,$6.76 ,,,"$2,134 ",,"$636,511 ",,"25,836 ",,"5,721 ",,"94,162 ",,"42,514 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",CB,PT,66,,$3.23 ,,0.35 ,,$149.85 ,,16.3 ,,$9.21 ,,$0.44 ,,,"$2,772,421 ",,"$7,918,077 ",,"859,512 ",,"52,839 ",,"18,065,624 ",,"1,510,271 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",MB,DO,613,,$0.40 ,,0.05 ,,$143.00 ,,16.7 ,,$8.57 ,,$1.64 ,,,"$15,136,348 ",,"$320,750,592 ",,"37,441,758 ",,"2,242,956 ",,"195,130,824 ",,"28,041,592 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",LR,DO,56,,$0.20 ,,0.03 ,,$326.58 ,,48.4 ,,$6.75 ,,$2.32 ,,,"$2,519,274 ",,"$86,998,626 ",,"12,888,105 ",,"266,396 ",,"37,497,523 ",,"3,236,011 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",VP,DO,536,,$4.19 ,,0.81 ,,$36.86 ,,7.2 ,,$5.15 ,,$0.16 ,,,"$3,715,388 ",,"$4,572,534 ",,"887,217 ",,"124,059 ",,"27,807,610 ",,"4,555,756 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",DR,PT,345,,$1.05 ,,0.02 ,,$60.06 ,,1.3 ,,$44.57 ,,$4.16 ,,,"$1,325,467 ",,"$56,239,572 ",,"1,261,873 ",,"936,407 ",,"13,514,183 ",,"13,691,291 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",CB,DO,242,,$2.62 ,,0.19 ,,$234.52 ,,17.3 ,,$13.55 ,,$0.72 ,,,"$8,521,099 ",,"$44,158,583 ",,"3,258,516 ",,"188,296 ",,"61,060,629 ",,"4,715,348 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",DR,TX,175,,$1.02 ,,0.08 ,,$72.86 ,,5.6 ,,$13.02 ,,$2.34 ,,,"$294,226 ",,"$3,766,843 ",,"289,350 ",,"51,699 ",,"1,610,543 ",,"1,433,641 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas, dba: Metro",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,157",MB,PT,116,,$0.36 ,,0.05 ,,$111.86 ,,14.5 ,,$7.69 ,,$1.86 ,,,"$2,945,131 ",,"$62,553,757 ",,"8,135,334 ",,"559,191 ",,"33,621,284 ",,"6,942,328 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",MB,DO,611,,$0.62 ,,0.10 ,,$186.67 ,,30.7 ,,$6.08 ,,$1.94 ,W,,"$34,182,621 ",,"$337,048,792 ",,"55,439,277 ",,"1,805,542 ",,"173,691,360 ",W,"20,425,964 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",HR,DO,54,,$1.36 ,,0.11 ,,$442.85 ,,36.7 ,,$12.07 ,,$2.53 ,W,,"$7,960,336 ",,"$70,765,671 ",,"5,864,191 ",,"159,796 ",,"27,957,087 ",W,"4,169,492 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",DR,PT,503,,$0.77 ,,0.01 ,,$83.55 ,,1.3 ,,$62.21 ,,$6.27 ,,,"$1,303,300 ",,"$105,382,245 ",,"1,693,896 ",,"1,261,235 ",,"16,808,141 ",,"15,432,243 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",LR,DO,38,,$1.01 ,,0.10 ,,$350.32 ,,35.4 ,,$9.90 ,,$1.73 ,W,,"$4,682,551 ",,"$46,077,929 ",,"4,652,718 ",,"131,530 ",,"26,579,844 ",W,"2,588,105 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",CB,PT,280,,$5.65 ,,0.26 ,,$313.49 ,,14.5 ,,$21.56 ,,$0.75 ,W,,"$14,786,099 ",,"$56,462,154 ",,"2,619,035 ",,"180,109 ",,"75,476,512 ",W,"4,857,107 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,888",DR,TX,241,,$2.37 ,,0.07 ,,$149.12 ,,4.5 ,,$33.13 ,,$6.85 ,,,"$1,892,661 ",,"$26,489,284 ",,"799,577 ",,"177,633 ",,"3,864,280 ",,"3,091,425 ",,No,,,,,,
